="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="mean",="sd",="min",="p50",="max"
="2010年不变价gdp（亿元）",="14523.74",="11892.12",="512.87",="",="54992.25"
="名义gdp（亿元）",="23015.75",="20379.95",="512.87",="",="111151.6"
="劳动年龄人口数（人）",="3.21e+07",="2.01e+07",="2117576",="",="9.14e+07"
="总人口数（人）",="4.45e+07",="2.88e+07",="3000000",="",="1.26e+08"
="城镇平均工资元/年",="64540.09",="26883.28",="28092",="",="185026"
="农村平均工资元/年",="11961.39",="5774.556",="3471.93",="",="34911"
="K",="61695.17",="67836.27",="17.9592",="",="344043.1"
="第三产业比重",=".5208678",=".4574327",=".3246259",="",="6.584714"
="城镇化率",=".5738391",=".1354976",=".2266667",="",=".8930868"
="一般公共预算支出（亿元）",="4674.298",="2879.902",="551.04",="",="17430.79"
="进出口总额（万元）",="8.50e+07",="1.41e+08",="214192.8",="",="7.18e+08"
="Observations",="186",="",="",="",=""
